TIME	ALTITUDE	ORIENTATION_X	ORIENTATION_Y	ORIENTATION_Z	ANGVELOCITY_X	ANGVELOCITY_Y	ANGVELOCITY_Z	LINEARACCEL_X	LINEARACCEL_Y	LINEARACCEL_Z	MAGNETOMETER_X	MAGNETOMETER_Y	MAGNETOMETER_Z	ACCELEROMETER_X	ACCELEROMETER_Y	ACCELEROMETER_Z	GRAVITY_X	GRAVITY_Y	GRAVITY_Z	
1169803 -2.79	300.00	83.38	-176.69	0.01	-0.00	0.01	-0.06	-0.38	-0.10	-45.25	10.75	-23.75	9.67	0.17	-1.08	9.74	0.56	-0.98	
3345435 -2.76	342.62	1.06	92.31	-0.01	0.00	-0.01	0.04	0.13	0.00	25.19	34.56	10.75	0.22	-9.64	-0.38	0.18	-9.79	-0.40	
3345515 -1.20	342.62	1.06	92.31	0.04	0.01	0.01	0.03	0.17	-0.02	25.56	35.00	10.75	0.19	-9.53	-0.36	0.18	-9.79	-0.39	
3345594 -0.02	342.69	1.06	92.12	-0.02	0.01	-0.00	0.01	0.30	0.09	26.00	34.56	11.06	0.19	-9.49	-0.28	0.18	-9.79	-0.37	
3345674 0.83	342.69	1.06	92.44	-0.02	0.00	0.00	0.03	0.27	0.00	25.56	35.38	10.75	0.21	-9.52	-0.40	0.18	-9.79	-0.41	
3345751 1.43	342.69	1.06	92.44	-0.01	0.01	0.00	0.03	0.12	-0.02	25.19	34.56	10.75	0.21	-9.67	-0.44	0.18	-9.79	-0.41	
3345829 1.90	342.69	1.06	92.50	-0.02	0.01	0.01	0.01	0.17	-0.02	25.56	35.00	10.75	0.19	-9.61	-0.46	0.18	-9.79	-0.43	
3345907 2.24	342.75	1.06	92.62	-0.03	0.00	0.00	-0.01	0.37	-0.05	25.19	34.25	11.06	0.18	-9.48	-0.49	0.18	-9.79	-0.45	
3345986 2.52	342.75	1.06	92.62	0.03	0.01	0.01	0.02	0.29	0.02	25.19	34.25	10.88	0.21	-9.50	-0.43	0.18	-9.79	-0.45	
3346063 2.71	342.75	1.06	92.56	-0.01	0.01	-0.00	0.00	0.21	0.02	24.88	34.25	11.19	0.18	-9.58	-0.42	0.18	-9.79	-0.44	
3346140 2.87	342.75	1.06	92.62	0.00	0.01	-0.00	0.03	0.24	-0.09	24.88	34.25	11.19	0.22	-9.54	-0.54	0.18	-9.79	-0.45	
3346218 2.99	342.75	1.06	92.62	0.00	-0.00	0.00	0.00	0.15	-0.05	25.56	35.00	12.06	0.18	-9.61	-0.52	0.18	-9.79	-0.45	
3346297 3.08	342.75	1.06	92.69	-0.04	-0.00	0.00	-0.01	0.17	0.00	25.56	34.56	12.06	0.25	-9.62	-0.43	0.18	-9.79	-0.46	
4044483 3.09	39.00	86.31	1.44	0.03	-0.01	-0.00	0.00	-0.05	-0.14	-45.56	19.56	1.06	9.79	-0.30	0.42	9.78	-0.24	0.57	
4044559 3.74	38.94	86.31	1.44	0.01	0.00	0.00	0.04	0.12	0.02	-45.88	20.69	1.50	9.83	-0.12	0.59	9.78	-0.25	0.57	
4044638 4.22	39.00	86.31	1.44	0.01	0.01	-0.00	0.02	0.00	0.15	-45.56	20.69	1.50	9.80	-0.24	0.73	9.78	-0.25	0.57	
